idx,source,model,question,reference,generated,latency_s,error,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1
4,bioasq,GPT-5.5,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis complex is a genetic multisystem disorder characterized by benign hamartomas in multiple organs. Classic features include seizures, intellectual disability/developmental delay, and facial angiofibromas, though not all patients have the full triad.

Common clinical findings include skin lesions such as hypomelanotic “ash-leaf” macules, facial angiofibromas, shagreen patches, and periungual fibromas. Neurologic manifestations include epilepsy, autism spectrum disorder, behavioral problems, cortical tubers, and subependymal nodules or subependymal giant cell astrocytomas.

Other organ involvement may include renal angiomyolipomas and cysts, cardiac rhabdomyomas especially in infants, pulmonary lymphangioleiomyomatosis particularly in adult women, retinal hamartomas, and dental enamel pits or oral fibromas.",6.888689699990209,,0.3174603174603175,0.11290322580645162,0.1746031746031746,0.828943,0.9047377,0.8651835
4,bioasq,QLoRA Qwen,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis (TS) is an autosomal dominant genetic disorder characterized by the presence of two major features: cortical and subcortical tubers in the brain, and benign tumors on the kidneys, eyes, heart, lungs, or other organs. The most common symptoms are seizures, behavioral abnormalities, learning disabilities, blindness, kidney disease, hypertension, hypoplasia of the hippocampus, and strokes. Tuberous sclerosis is caused by mutations in either the TSC1 or TSC2 gene.",0.9681713999889325,,0.19148936170212763,0.02173913043478261,0.1276595744680851,0.82822204,0.8334923,0.8308488
4,bioasq,QLoRA Llama-3.2,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis is an autosomal recessive genetic disease characterized by multiple non-seeding hamartomas and tumors in the brain, kidneys, heart, lungs, eyes, skin, and other organs. It is caused by a mutation in the TSC1 or TSC2 gene that encodes for the TSC complex protein p75, which regulates cell growth and differentiation.",0.4405038999975659,,0.1282051282051282,0.02631578947368421,0.10256410256410255,0.7983116,0.80246866,0.80038476
5,bioasq,GPT-5.5,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 is a selective inhibitor of the sodium–calcium exchanger (Na⁺/Ca²⁺ exchanger, NCX), an ion antiporter that exchanges intracellular Ca²⁺ for extracellular Na⁺.",3.2896395999996457,,0.23880597014925373,0.12121212121212123,0.19402985074626866,0.85967815,0.78524995,0.8207802
5,bioasq,QLoRA Qwen,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 (sodium-ethylenediaminetetraacetate) is a sodium-dependent cation exchanger inhibitor. It inhibits the sodium-calcium exchange in pancreatic β cells, and may be useful for treatment of idiopathic hypocalcaemia.",0.8651840999955311,,0.2028985507246377,0.014705882352941178,0.13043478260869565,0.83637524,0.7865605,0.8107033
5,bioasq,QLoRA Llama-3.2,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 is an inhibitor of SLC12A1, also known as NKCC2 (natriuretic peptide cotransporter 2), the Na+/Cl- antiporter expressed in the distal convoluted tubule. SEA0400 inhibits SLC12A1, which is a member of the solute carrier family 12 (SLC12) and belongs to the NKCC2 family of sodium-chloride cotransporters. Inhibition of SLC12A1 has been shown to increase urinary excretion of sodium and chloride in patients with chronic kidney disease on dialysis, which may be beneficial for those at risk of developing hyperchloremic metabolic acidosis.",0.821626400022069,,0.2590673575129534,0.06282722513089005,0.16580310880829016,0.8081369,0.7925117,0.80024797
6,drugbank-side_effects,GPT-5.5,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","Common side effects of dexlansoprazole include diarrhea, stomach pain, nausea, vomiting, gas, headache, and upper respiratory symptoms such as sore throat or nasal congestion.

Less common but more serious side effects can include severe or persistent diarrhea from *C. difficile* infection, low magnesium levels, vitamin B12 deficiency with long-term use, increased fracture risk with prolonged/high-dose use, kidney inflammation, allergic reactions, and rare lupus-like skin or joint symptoms. Long-term use may also be associated with fundic gland stomach polyps.",6.953563699993538,,0.17435897435897432,0.010362694300518133,0.10256410256410255,0.8050258,0.7956494,0.80031013
6,drugbank-side_effects,QLoRA Qwen,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","The oral LD<sub>50</sub> in rats is >3g/kg and 189mg/kg in mice.

Dexlansoprazole may cause an increase in serum alkaline phosphatase levels. There have been reports of patients experiencing hypomagnesemia, hyponatremia, and hyperkalemia after taking this drug. Hypotension has also been reported with dexlansoprazole use.

Dexlansoprazole is not recommended for use in pregnant women due to the risk of fetal harm. There are no data on the use of dexlansoprazole during pregnancy to inform a drug-associated risk. Animal reproduction studies have shown that dexlansoprazole did not present embryo-fetal toxicity, however, there is limited human data.

Dexlansoprazole should be avoided in patients with severe renal impairment as it may cause an increase in serum potassium levels and prolong the action of the medication.",1.6282610000052955,,0.3833333333333333,0.1176470588235294,0.23333333333333334,0.84388053,0.8408207,0.84234786
6,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","Dexlansoprazoate is associated with serious adverse reactions in patients with GERDS, including life-threatening complications such as aspiration pneumonia and esophageal perforation. Patients with pre-existing renal impairment may be at increased risk for these complications due to reduced elimination of the drug from plasma. The oral LD50 value in rats is 120 mg/kg.",0.41114089998882264,,0.2994011976047904,0.07272727272727272,0.1437125748502994,0.8295977,0.80752456,0.8184123
7,drugbank-side_effects,GPT-5.5,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"Nefazodone can cause drowsiness, dizziness, lightheadedness, headache, nausea, dry mouth, constipation, blurred vision, weakness, and sweating. It can also cause low blood pressure when standing, which may lead to fainting, especially when starting or increasing the dose.

Less common but serious side effects include severe liver injury or liver failure, which is the major safety concern with nefazodone. Warning symptoms include yellowing of the skin or eyes, dark urine, severe fatigue, abdominal pain, or persistent nausea. It may also rarely contribute to serotonin syndrome, mood worsening, agitation, or suicidal thoughts, particularly early in treatment. Compared with many SSRIs, nefazodone tends to cause fewer sexual side effects.",6.408661399997072,,0.08333333333333334,0.016949152542372885,0.06666666666666667,0.7597617,0.8521248,0.803297
7,drugbank-side_effects,QLoRA Qwen,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"The oral LD<sub>50</sub> in rats is 187 mg/kg and in mice is 246 mg/kg.

Nefazodone may cause serious adverse reactions such as serotonin syndrome, serotonin-induced hypertension/orthostatic hypotension, mania/manipulative behavior, akathisia, extrapyramidal symptoms, akinesia, parkinsonism, dystonia, and restlessness. Symptoms of overdose include hallucinations, agitation, insomnia, hyperreflexia, tremor, tachycardia, arrhythmias, dizziness, headache, nausea/vomiting, hypotension, disorientation, confusion, delirium, lethargy, somnolence, coma, and suicidal ideation.

Nefazodone is not recommended for use in patients 65 years of age or older due to an increased risk of adverse effects such as falls, orthostatic hypotension, and hyponatremia. Older patients may be at greater risk of adverse effects from these agents due to decreased renal function.

Nefazodone is associated with a higher risk of suicidal ideation/behaviour in pediatric and adolescent patients compared to adults. Use the drug only in patients for whom other treatments are ineffective or禁忌.

Use in pregnancy category C

Neonates exposed to SSRIs, including nefazodone, late in the third trimester have developed complications at birth including irritability, sleep disturbances, feeding difficulties, and somnolence. There were no differences in neurobehavioral outcomes between children of mothers who took nefazodone during pregnancy and those of mothers who did not take this drug during pregnancy.

Neurobehavioral effects observed in rat pups exposed to nefazodone include decreased motor activity at 10 days of age, but not at 28 days of age.",2.5665136000025086,,0.04897959183673469,0.00823045267489712,0.04081632653061224,0.7423532,0.85011554,0.79258823
7,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"The oral LD50 of nefazodone in rats is 500 mg/kg and in mice is 2500 mg/kg. The oral TDLo in women is reported to be 2-4mg/kg, which corresponds to a clinical dose approximately three times the maximum recommended daily dose for adults. In case of overdose, patients should be monitored closely for signs or symptoms of adverse reactions such as somnolence, drowsiness, confusion, agitation, and/or seizures. Patients may experience severe serotonin syndrome with nefazodone use, especially in elderly patients. Nefazodone is not dialyzable and has a large interindividual variability in clearance, which may lead to overdosage in some patients.",0.7195640999998432,,0.11864406779661017,0.034482758620689655,0.10169491525423728,0.77456665,0.85500413,0.81280017
8,drugbank-indication,GPT-5.5,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,"Zuranolone (brand name Zurzuvae) is used to treat postpartum depression in adults. It is an oral medication taken once daily for 14 days and works as a neuroactive steroid that modulates GABA-A receptors in the brain.

It is specifically approved for postpartum depression, not as a general antidepressant for major depressive disorder.",4.51607499999227,,0.24615384615384617,0.0634920634920635,0.18461538461538463,0.8121979,0.90875864,0.8577693
8,drugbank-indication,QLoRA Qwen,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,"Zuranolone is indicated as an adjunct to therapy in patients with major depressive disorder (MDD) who are inadequately treated by standard antidepressants and require additional augmentation or maintenance treatment.

It is also used off-label for the prevention of postpartum depression.",0.6407349999935832,,0.37735849056603776,0.196078431372549,0.3018867924528301,0.8434416,0.9330753,0.88599724
8,drugbank-indication,QLoRA Llama-3.2,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,"Zuranolone is indicated as an adjunctive therapy in the treatment of moderate to severe pain associated with duodenal stenosis (stenos) due to chronic gastritis, particularly when gastric acid hypersecretion is present.",0.2968652999843471,,0.3255813953488372,0.1951219512195122,0.27906976744186046,0.8239374,0.90371186,0.8619829
9,drugbank-side_effects,GPT-5.5,What are the side effects of Necitumumab?,"The poor safety profile of necitumumab has been one of the major limitations of its use. Rigorous monitoring of the following adverse events is recommended for the use of this drug: cardiopulmonary arrest, hypomagnesia, venous and arterial thromboembolic events, dermatologic toxicities, and infusion-related reactions. Due to observations of increased toxicity and mortality in treatment of non-squamous NSCLC, necitumumab is only recommended for the treatment of squamous NSCLC in combination with cisplatin and gemcitabine. Animal studies suggest potential embryo-fetal toxicity.","Necitumumab can commonly cause an acne-like rash or other skin reactions, itching, dry skin, diarrhea, nausea, vomiting, mouth sores, decreased appetite, weight loss, fatigue, and low magnesium levels. Low magnesium may occur with low calcium or potassium and can cause weakness, cramps, or heart rhythm problems.

More serious side effects include severe skin reactions, infusion-related reactions, blood clots such as deep vein thrombosis or pulmonary embolism, and serious cardiopulmonary events including cardiac arrest or sudden death. It can also worsen electrolyte abnormalities, so magnesium, potassium, and calcium are usually monitored during treatment.",7.49323320001713,,0.1590909090909091,0.022988505747126436,0.09090909090909091,0.8166474,0.81047463,0.81354934
9,drugbank-side_effects,QLoRA Qwen,What are the side effects of Necitumumab?,"The poor safety profile of necitumumab has been one of the major limitations of its use. Rigorous monitoring of the following adverse events is recommended for the use of this drug: cardiopulmonary arrest, hypomagnesia, venous and arterial thromboembolic events, dermatologic toxicities, and infusion-related reactions. Due to observations of increased toxicity and mortality in treatment of non-squamous NSCLC, necitumumab is only recommended for the treatment of squamous NSCLC in combination with cisplatin and gemcitabine. Animal studies suggest potential embryo-fetal toxicity.","The most common adverse reactions (incidence ≥5%) were fatigue and infusion-related reaction. There have been reports of fatal cardiac events associated with use of this drug, including ventricular arrhythmia, congestive heart failure, cardiogenic shock, myocardial infarction, pulmonary edema, pulmonary hemorrhage, and death.",0.7359111999976449,,0.24000000000000002,0.0975609756097561,0.144,0.8495295,0.8144295,0.8316093
9,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Necitumumab?,"The poor safety profile of necitumumab has been one of the major limitations of its use. Rigorous monitoring of the following adverse events is recommended for the use of this drug: cardiopulmonary arrest, hypomagnesia, venous and arterial thromboembolic events, dermatologic toxicities, and infusion-related reactions. Due to observations of increased toxicity and mortality in treatment of non-squamous NSCLC, necitumumab is only recommended for the treatment of squamous NSCLC in combination with cisplatin and gemcitabine. Animal studies suggest potential embryo-fetal toxicity.","There is no information on necitumumab overdose in the literature. Patients experiencing an overdose may present with severe hypersensitivity reactions and/or infusion reactions, and patients should be treated accordingly. There is no specific antidote for a necitumumab overdose; however, supportive measures are recommended.",0.34621550000156276,,0.20634920634920637,0.0,0.12698412698412698,0.82113147,0.7976257,0.8092079
10,bioasq,GPT-5.5,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,Synostosis of sagittal and lambdoid structures are characteristic to the Mercedes Benz syndrome.,Mercedes-Benz syndrome is characterized by premature synostosis of the sagittal suture and both lambdoid sutures. This creates a three-rayed pattern at the posterior skull resembling the Mercedes-Benz logo.,14.831603099999484,,0.4090909090909091,0.19047619047619044,0.36363636363636365,0.8380467,0.89551747,0.86582947
10,bioasq,QLoRA Qwen,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,Synostosis of sagittal and lambdoid structures are characteristic to the Mercedes Benz syndrome.,Mercedes-Benz syndrome is characterized by synostosis of the mandibular and coronal sutures with dislocation of the temporomandibular joint (TMJ).,0.6188236000016332,,0.4242424242424242,0.1935483870967742,0.24242424242424246,0.83972526,0.88088584,0.8598133
10,bioasq,QLoRA Llama-3.2,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,Synostosis of sagittal and lambdoid structures are characteristic to the Mercedes Benz syndrome.,"The Mercedes Benz syndrome is characterized by synostosis of the coronal and sagittal suturee. The coronal suture is most commonly affected, followed by the sagittal suture. Synostosis at these sutures can lead to craniosynostosis, which may be associated with an increased risk for neurologic complications in infants with this syndrome.",0.40121730000828393,,0.28571428571428575,0.13114754098360654,0.15873015873015872,0.82054365,0.8876157,0.8527628
