idx,source,model,question,reference,generated,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1,latency_s,accuracy,completeness,clarity,safety,rationale,judge_latency_s
3,drugbank-mechanism_of_action,QLoRA Qwen,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","The mechanism of action of docosahexaenoic acid (DHA) is not fully understood; however, it has been proposed that DHA may be involved in the regulation of cell growth and differentiation as well as modulation of inflammatory processes. The anti-inflammatory activity of DHA is thought to be mediated by inhibition of prostaglandin E2 (PGE<sub>2</sub>) synthesis via suppression of cyclooxygenase-1 (COX-1) and lipoxygenase pathways, which are involved in the production of PGE<sub>2</sub>. DHA may also inhibit NF-kappa B activation, a key step in inflammatory gene transcription.",0.2709163346613546,0.0562248995983935,0.1593625498007968,0.81891006,0.80863404,0.8137396,1.1253778999962378,2.0,1.0,7.0,5.0,"Clear wording, but it answers about DHA instead of icosapent/EPA and misses the key EPA-derived eicosanoid, antithrombotic, and triglyceride-lowering mechanisms.",1.835743299976457
3,drugbank-mechanism_of_action,QLoRA Llama-3.2,How does Icosapent work?,"The anti-inflammatory, antithrombotic and immunomodulatory actions of EPA is probably due to its role in eicosanoid physiology and biochemistry. Most eicosanoids are produced by the metabolism of omega-3 fatty acids, specifically, arachidonic acid. These eicosanoids, leukotriene B4 (LTB4) and thromboxane A2 (TXA2) stimulate leukocyte chemotaxis, platelet aggregation and vasoconstriction. They are thrombogenic and artherogenic. On the other hand, EPA is metabolized to leukotriene B5 (LTB5) and thromboxane A3 (TXA3), which are eicosanoids that promote vasodilation, inhibit platelet aggregation and leukocyte chemotaxis and are anti-artherogenic and anti-thrombotic. The triglyceride-lowering effect of EPA results from inhibition of lipogenesis and stimulation of fatty acid oxidation. Fatty acid oxidation of EPA occurs mainly in the mitochondria. EPA is a substrate for Prostaglandin-endoperoxide synthase 1 and 2. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40.","Icosapent is an omega-3 fatty acid derivative that has anti-inflammatory properties. It inhibits the production of thromboxane A2 and prostaglandin E2, which are mediators of platelet aggregation and inflammation respectively. In addition, icosapent has been shown to inhibit the synthesis of eicosanoids via inhibition of cyclooxygenase (COX) enzymes. Icosapent is also a potent inhibitor of leukotriene synthesis by inhibiting 5-lipoxygenase activity.",0.3167420814479638,0.0821917808219178,0.1809954751131221,0.8579961,0.8251257,0.8412399,0.5512798999843653,4.0,3.0,7.0,6.0,"Clear but mechanistically oversimplified and partly inaccurate, incorrectly framing EPA/icosapent as directly inhibiting COX and 5-lipoxygenase rather than shifting eicosanoid production and lowering triglycerides via altered lipid metabolism.",2.2487982000166085
4,bioasq,GPT-5.5,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis complex is a genetic multisystem disorder characterized by benign hamartomas in multiple organs. Classic features include seizures, intellectual disability/developmental delay, and facial angiofibromas, though not all patients have the full triad.

Common clinical findings include skin lesions such as hypomelanotic “ash-leaf” macules, facial angiofibromas, shagreen patches, and periungual fibromas. Neurologic manifestations include epilepsy, autism spectrum disorder, behavioral problems, cortical tubers, and subependymal nodules or subependymal giant cell astrocytomas.

Other organ involvement may include renal angiomyolipomas and cysts, cardiac rhabdomyomas especially in infants, pulmonary lymphangioleiomyomatosis particularly in adult women, retinal hamartomas, and dental enamel pits or oral fibromas.",0.3174603174603175,0.1129032258064516,0.1746031746031746,0.828943,0.9047377,0.8651835,6.888689699990209,10.0,9.0,9.0,10.0,"Accurate, well-organized summary covering the major neurologic, cutaneous, renal, cardiac, and pulmonary features of tuberous sclerosis, with only minor omissions relative to the reference list.",1.7363202999986245
4,bioasq,QLoRA Qwen,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis (TS) is an autosomal dominant genetic disorder characterized by the presence of two major features: cortical and subcortical tubers in the brain, and benign tumors on the kidneys, eyes, heart, lungs, or other organs. The most common symptoms are seizures, behavioral abnormalities, learning disabilities, blindness, kidney disease, hypertension, hypoplasia of the hippocampus, and strokes. Tuberous sclerosis is caused by mutations in either the TSC1 or TSC2 gene.",0.1914893617021276,0.0217391304347826,0.1276595744680851,0.82822204,0.8334923,0.8308488,0.9681713999889324,6.0,5.0,7.0,7.0,"The answer is readable and includes key features like seizures, cortical tubers, renal and cardiac involvement, but it omits several hallmark manifestations and adds questionable/less typical features such as blindness, hippocampal hypoplasia, and strokes.",1.913317400001688
4,bioasq,QLoRA Llama-3.2,Which are the clinical characteristics of Tuberous Sclerosis?,"The clinical characteristics of Tuberous Sclerosis include epilepsy, subependymal giant cell astrocytomas, lymphangioleiomyomatosis, rhabdomyoma, renal angiomyolipomas, cortical tubers, neurofibromas, angiofibromas, mental retardation, and behavioral disorders.","Tuberous sclerosis is an autosomal recessive genetic disease characterized by multiple non-seeding hamartomas and tumors in the brain, kidneys, heart, lungs, eyes, skin, and other organs. It is caused by a mutation in the TSC1 or TSC2 gene that encodes for the TSC complex protein p75, which regulates cell growth and differentiation.",0.1282051282051282,0.0263157894736842,0.1025641025641025,0.7983116,0.80246866,0.80038476,0.4405038999975659,3.0,2.0,6.0,5.0,"The answer is readable but contains key factual errors (inheritance and gene/protein details) and omits most hallmark clinical features such as seizures, skin findings, renal/cardiac/lung manifestations, and neurobehavioral involvement.",2.0637764999992214
5,bioasq,GPT-5.5,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 is a selective inhibitor of the sodium–calcium exchanger (Na⁺/Ca²⁺ exchanger, NCX), an ion antiporter that exchanges intracellular Ca²⁺ for extracellular Na⁺.",0.2388059701492537,0.1212121212121212,0.1940298507462686,0.85967815,0.78524995,0.8207802,3.2896395999996457,10.0,10.0,10.0,10.0,Correctly identifies SEA0400 as a selective Na+/Ca2+ exchanger (NCX) inhibitor and states its antiporter function clearly without unsafe or misleading content.,1.842060599999968
5,bioasq,QLoRA Qwen,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 (sodium-ethylenediaminetetraacetate) is a sodium-dependent cation exchanger inhibitor. It inhibits the sodium-calcium exchange in pancreatic β cells, and may be useful for treatment of idiopathic hypocalcaemia.",0.2028985507246377,0.0147058823529411,0.1304347826086956,0.83637524,0.7865605,0.8107033,0.8651840999955311,1.0,2.0,4.0,3.0,"It identifies sodium-calcium exchange only vaguely but incorrectly expands SEA0400, adds unsupported disease claims, and fails to clearly name the Na+/Ca2+ exchanger (NCX).",1.892513999977382
5,bioasq,QLoRA Llama-3.2,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 is an inhibitor of SLC12A1, also known as NKCC2 (natriuretic peptide cotransporter 2), the Na+/Cl- antiporter expressed in the distal convoluted tubule. SEA0400 inhibits SLC12A1, which is a member of the solute carrier family 12 (SLC12) and belongs to the NKCC2 family of sodium-chloride cotransporters. Inhibition of SLC12A1 has been shown to increase urinary excretion of sodium and chloride in patients with chronic kidney disease on dialysis, which may be beneficial for those at risk of developing hyperchloremic metabolic acidosis.",0.2590673575129534,0.06282722513089,0.1658031088082901,0.8081369,0.7925117,0.80024797,0.821626400022069,0.0,0.0,5.0,2.0,"The answer is clearly written but identifies the completely wrong transporter; SEA0400 is a selective Na+/Ca2+ exchanger (NCX) inhibitor, and the added renal claims are misleading.",1.7984471999807283
6,drugbank-side_effects,GPT-5.5,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","Common side effects of dexlansoprazole include diarrhea, stomach pain, nausea, vomiting, gas, headache, and upper respiratory symptoms such as sore throat or nasal congestion.

Less common but more serious side effects can include severe or persistent diarrhea from *C. difficile* infection, low magnesium levels, vitamin B12 deficiency with long-term use, increased fracture risk with prolonged/high-dose use, kidney inflammation, allergic reactions, and rare lupus-like skin or joint symptoms. Long-term use may also be associated with fundic gland stomach polyps.",0.1743589743589743,0.0103626943005181,0.1025641025641025,0.8050258,0.7956494,0.80031013,6.953563699993538,8.0,6.0,9.0,9.0,"Clear and medically sound overview of typical dexlansoprazole adverse effects, but it misses the reference’s overdose-specific adverse events and management details.",2.5342098000110127
6,drugbank-side_effects,QLoRA Qwen,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","The oral LD<sub>50</sub> in rats is >3g/kg and 189mg/kg in mice.

Dexlansoprazole may cause an increase in serum alkaline phosphatase levels. There have been reports of patients experiencing hypomagnesemia, hyponatremia, and hyperkalemia after taking this drug. Hypotension has also been reported with dexlansoprazole use.

Dexlansoprazole is not recommended for use in pregnant women due to the risk of fetal harm. There are no data on the use of dexlansoprazole during pregnancy to inform a drug-associated risk. Animal reproduction studies have shown that dexlansoprazole did not present embryo-fetal toxicity, however, there is limited human data.

Dexlansoprazole should be avoided in patients with severe renal impairment as it may cause an increase in serum potassium levels and prolong the action of the medication.",0.3833333333333333,0.1176470588235294,0.2333333333333333,0.84388053,0.8408207,0.84234786,1.6282610000052955,2.0,2.0,6.0,2.0,"The answer is readable but contains multiple unsupported or incorrect claims and misses the key overdose/adverse-effect points in the reference, creating potential safety concerns.",2.096130300022196
6,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","Dexlansoprazoate is associated with serious adverse reactions in patients with GERDS, including life-threatening complications such as aspiration pneumonia and esophageal perforation. Patients with pre-existing renal impairment may be at increased risk for these complications due to reduced elimination of the drug from plasma. The oral LD50 value in rats is 120 mg/kg.",0.2994011976047904,0.0727272727272727,0.1437125748502994,0.8295977,0.80752456,0.8184123,0.4111408999888226,0.0,1.0,4.0,1.0,"The answer is largely factually incorrect and misleading, inventing serious complications and an incorrect LD50 while omitting the actual overdose/adverse-effect information.",2.367281400016509
7,drugbank-side_effects,GPT-5.5,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"Nefazodone can cause drowsiness, dizziness, lightheadedness, headache, nausea, dry mouth, constipation, blurred vision, weakness, and sweating. It can also cause low blood pressure when standing, which may lead to fainting, especially when starting or increasing the dose.

Less common but serious side effects include severe liver injury or liver failure, which is the major safety concern with nefazodone. Warning symptoms include yellowing of the skin or eyes, dark urine, severe fatigue, abdominal pain, or persistent nausea. It may also rarely contribute to serotonin syndrome, mood worsening, agitation, or suicidal thoughts, particularly early in treatment. Compared with many SSRIs, nefazodone tends to cause fewer sexual side effects.",0.0833333333333333,0.0169491525423728,0.0666666666666666,0.7597617,0.8521248,0.803297,6.408661399997072,10.0,10.0,9.0,10.0,Accurately highlights the key boxed-warning risk of life-threatening liver failure while also clearly covering common adverse effects and important warning symptoms.,3.795018300006632
7,drugbank-side_effects,QLoRA Qwen,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"The oral LD<sub>50</sub> in rats is 187 mg/kg and in mice is 246 mg/kg.

Nefazodone may cause serious adverse reactions such as serotonin syndrome, serotonin-induced hypertension/orthostatic hypotension, mania/manipulative behavior, akathisia, extrapyramidal symptoms, akinesia, parkinsonism, dystonia, and restlessness. Symptoms of overdose include hallucinations, agitation, insomnia, hyperreflexia, tremor, tachycardia, arrhythmias, dizziness, headache, nausea/vomiting, hypotension, disorientation, confusion, delirium, lethargy, somnolence, coma, and suicidal ideation.

Nefazodone is not recommended for use in patients 65 years of age or older due to an increased risk of adverse effects such as falls, orthostatic hypotension, and hyponatremia. Older patients may be at greater risk of adverse effects from these agents due to decreased renal function.

Nefazodone is associated with a higher risk of suicidal ideation/behaviour in pediatric and adolescent patients compared to adults. Use the drug only in patients for whom other treatments are ineffective or禁忌.

Use in pregnancy category C

Neonates exposed to SSRIs, including nefazodone, late in the third trimester have developed complications at birth including irritability, sleep disturbances, feeding difficulties, and somnolence. There were no differences in neurobehavioral outcomes between children of mothers who took nefazodone during pregnancy and those of mothers who did not take this drug during pregnancy.

Neurobehavioral effects observed in rat pups exposed to nefazodone include decreased motor activity at 10 days of age, but not at 28 days of age.",0.0489795918367346,0.0082304526748971,0.0408163265306122,0.7423532,0.85011554,0.79258823,2.5665136000025086,3.0,2.0,5.0,3.0,"The answer lists many questionable or irrelevant effects, omits the key boxed warning of life-threatening hepatic failure, and includes misleading pregnancy/SSRI comparisons that could be unsafe.",1.9272627999889664
7,drugbank-side_effects,QLoRA Llama-3.2,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"The oral LD50 of nefazodone in rats is 500 mg/kg and in mice is 2500 mg/kg. The oral TDLo in women is reported to be 2-4mg/kg, which corresponds to a clinical dose approximately three times the maximum recommended daily dose for adults. In case of overdose, patients should be monitored closely for signs or symptoms of adverse reactions such as somnolence, drowsiness, confusion, agitation, and/or seizures. Patients may experience severe serotonin syndrome with nefazodone use, especially in elderly patients. Nefazodone is not dialyzable and has a large interindividual variability in clearance, which may lead to overdosage in some patients.",0.1186440677966101,0.0344827586206896,0.1016949152542372,0.77456665,0.85500413,0.81280017,0.7195640999998432,2.0,2.0,6.0,3.0,"The answer focuses on overdose/toxicity details and omits the key serious adverse effect of life-threatening hepatic failure, while adding potentially misleading claims about side effects.",2.3021509000100195
8,drugbank-indication,GPT-5.5,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,"Zuranolone (brand name Zurzuvae) is used to treat postpartum depression in adults. It is an oral medication taken once daily for 14 days and works as a neuroactive steroid that modulates GABA-A receptors in the brain.

It is specifically approved for postpartum depression, not as a general antidepressant for major depressive disorder.",0.2461538461538461,0.0634920634920635,0.1846153846153846,0.8121979,0.90875864,0.8577693,4.51607499999227,10.0,10.0,10.0,10.0,"Accurately states the approved use of zuranolone for postpartum depression in adults and adds correct, clear contextual details without unsafe advice.",1.710091699991608
