idx,source,model,question,reference,generated,accuracy,completeness,clarity,safety,rationale,judge_latency_s,judge_error
5,bioasq,GPT-5.5,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 is an inhibitor of the sodium–calcium exchanger, specifically the Na⁺/Ca²⁺ antiporter/exchanger (NCX).",10,10,10,10.0,Correctly and clearly identifies SEA0400 as a selective inhibitor of the Na+/Ca2+ exchanger (NCX) with no misleading content.,1.531290999999328,
5,bioasq,QLoRA Qwen,The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.

SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.","SEA0400 (sodium-ethylenediaminetetraacetate) is an inhibitor of sodium-calcium exchange in the brain, and has been used to treat seizures associated with stroke. It also inhibits Na+/H+ exchangers 1 and 3 in pancreatic beta cells, which are involved in regulation of glucose homeostasis.",0,1,4,2.0,"The candidate misidentifies SEA0400, adds false clinical uses and incorrect targets, though it is at least readable.",2.681435500000589,
6,drugbank-side_effects,GPT-5.5,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","Common side effects of dexlansoprazole include diarrhea, nausea, stomach pain, gas, vomiting, headache, and upper respiratory symptoms such as sore throat or nasal congestion.

Less common but more serious side effects can include severe allergic reactions, kidney inflammation, liver problems, low magnesium levels, vitamin B12 deficiency with long-term use, bone fracture risk with prolonged/high-dose use, severe diarrhea from *C. difficile*, and lupus-like skin or joint symptoms. Long-term use may also increase the risk of stomach polyps called fundic gland polyps.",9,8,9,9.0,"Accurate, clear summary of common and serious dexlansoprazole adverse effects, but it does not address the reference’s overdose-specific details.",1.8001652999992075,
6,drugbank-side_effects,QLoRA Qwen,What are the side effects of Dexlansoprazole?,"Oral LD<sub>50</sub> value in mice, rats and dogs is reported to be > 5000 mg/kg.

There have been no reports of significant overdose with dexlansoprazole. Multiple doses of 120 mg and a single dose of 300 mg did not result in death or other severe adverse events; however, serious adverse events of hypertension have been reported in association with twice daily doses of 60 mg. Nonserious adverse reactions observed with twice daily doses of 60 mg include hot flashes, contusion, oropharyngeal pain, and weight loss. Dexlansoprazole is not expected to be removed from the circulation by hemodialysis. In the event of over-exposure, treatment should be symptomatic and supportive.","The oral LD<sub>50</sub> in rats is 2480 mg/kg and in mice is 1960 mg/kg.

Dexlansoprazole may cause an increase in serum amylase, pancreatitis, hypomagnesaemia, hypokalaemia, hyponatraemia, hypocalcaemia, and hyperchloremia.",1,2,6,3.0,"The answer gives incorrect LD50 values and omits the key overdose/adverse-event information in the reference, while listing possible adverse effects without context.",3.355325200000152,
7,drugbank-side_effects,GPT-5.5,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"Nefazodone can cause drowsiness, dizziness, lightheadedness, dry mouth, nausea, constipation, headache, blurred vision, weakness, and confusion. It may also cause low blood pressure when standing, which can lead to faintness or falls.

More serious but less common side effects include severe liver injury or liver failure, serotonin syndrome, allergic reactions, abnormal bleeding risk, mania/hypomania in people with bipolar disorder, seizures, and rare prolonged painful erection. Nefazodone has important drug interactions because it strongly affects CYP3A4 metabolism.",9,9,9,9.0,"Accurately highlights the key serious risk of life-threatening liver failure and provides a clear, generally safe overview of common and serious adverse effects, with only minor omission of explicit urgent monitoring advice.",2.4386556999997993,
7,drugbank-side_effects,QLoRA Qwen,What are the side effects of Nefazodone?,Cases of life-threatening hepatic failure have been reported in patients treated with nefazodone.,"The oral LD<sub>50</sub> in rats is 296 mg/kg and in mice is 143 mg/kg.

Nefazodone overdose may present as drowsiness, sedation, somnolence, lethargy, coma, ataxia, nystagmus, hallucinations, disorientation, agitation, restlessness, tremor, akathisia, hypotension, bradycardia, and cardiac arrhythmias. In case of overdose, treat patients with symptomatic treatment and supportive care as well as gastric lavage or hemodialysis if necessary.",1,1,4,2.0,"The response addresses overdose/toxicity rather than the key side effect of life-threatening hepatic failure, and includes potentially unsafe management suggestions.",1.923325599999771,
8,drugbank-indication,GPT-5.5,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,"Zuranolone (brand name Zurzuvae) is used to treat postpartum depression (PPD) in adults. It is an oral medication taken once daily for 14 days.

It works as a neuroactive steroid that positively modulates GABA-A receptors in the brain, which can help rapidly improve depressive symptoms related to postpartum depression.",10,10,10,10.0,"Directly matches the indication for adult postpartum depression and adds correct, clear contextual details without introducing risk.",1.7338984999996683,
8,drugbank-indication,QLoRA Qwen,What is Zuranolone used for?,Zuranolone is indicated for the treatment of postpartum depression (PPD) in adults.,Zuranolone is indicated as an adjunct to therapy in patients with major depressive disorder (MDD) who are inadequately treated by standard antidepressant treatment alone [FDA Label]. It is also approved for the prevention of postpartum depression.,2,1,8,4.0,"The response is clearly written but is factually wrong about the approved indication, incorrectly stating MDD adjunct use and prevention of postpartum depression instead of treatment of postpartum depression in adults.",1.926348400000279,
9,drugbank-side_effects,GPT-5.5,What are the side effects of Necitumumab?,"The poor safety profile of necitumumab has been one of the major limitations of its use. Rigorous monitoring of the following adverse events is recommended for the use of this drug: cardiopulmonary arrest, hypomagnesia, venous and arterial thromboembolic events, dermatologic toxicities, and infusion-related reactions. Due to observations of increased toxicity and mortality in treatment of non-squamous NSCLC, necitumumab is only recommended for the treatment of squamous NSCLC in combination with cisplatin and gemcitabine. Animal studies suggest potential embryo-fetal toxicity.","Necitumumab can commonly cause an acne-like skin rash, dry or itchy skin, diarrhea, mouth sores, nausea or vomiting, decreased appetite, weight loss, fatigue, fever, and low blood electrolyte levels—especially low magnesium, calcium, or potassium.

More serious side effects include severe infusion reactions, severe skin reactions or infections, blood clots in the lungs or veins, arterial clots such as heart attack or stroke, and cardiopulmonary arrest or sudden death. It can also rarely cause lung inflammation or worsening breathing symptoms.",9,8,9,9.0,"Accurate and well-organized summary covering major toxicities, though it omits the restriction to squamous NSCLC/increased mortality in non-squamous disease and embryo-fetal toxicity.",3.3190371999999115,
9,drugbank-side_effects,QLoRA Qwen,What are the side effects of Necitumumab?,"The poor safety profile of necitumumab has been one of the major limitations of its use. Rigorous monitoring of the following adverse events is recommended for the use of this drug: cardiopulmonary arrest, hypomagnesia, venous and arterial thromboembolic events, dermatologic toxicities, and infusion-related reactions. Due to observations of increased toxicity and mortality in treatment of non-squamous NSCLC, necitumumab is only recommended for the treatment of squamous NSCLC in combination with cisplatin and gemcitabine. Animal studies suggest potential embryo-fetal toxicity.",The most common adverse reactions (incidence ≥20%) were fatigue and infusion-related reaction.,4,2,8,4.0,"Clear but severely incomplete, omitting several important serious toxicities and key warnings such as thromboembolism, hypomagnesemia, dermatologic toxicity, cardiopulmonary arrest, and embryo-fetal risk.",2.227122600000257,
10,bioasq,GPT-5.5,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,Synostosis of sagittal and lambdoid structures are characteristic to the Mercedes Benz syndrome.,"Mercedes-Benz syndrome is characterized by craniosynostosis of the sagittal suture and both lambdoid sutures, which meet posteriorly at the lambda and create a triradiate “Mercedes-Benz” pattern.",10,10,10,10.0,"The candidate precisely matches the reference, correctly naming sagittal and bilateral lambdoid synostosis and clearly explaining the Mercedes-Benz pattern.",1.5217422000005172,
10,bioasq,QLoRA Qwen,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,Synostosis of sagittal and lambdoid structures are characteristic to the Mercedes Benz syndrome.,Mercedes-Benz syndrome is characterized by synostosis of the coronal sutures and synostosis of the sagittal suture with one or more anteriorly located radial rays.,2,3,6,6.0,"The answer is clearly written but identifies the wrong cranial sutures, stating coronal involvement instead of the characteristic sagittal and lambdoid synostosis.",1.7865504999999757,
11,bioasq,GPT-5.5,What is the triple screening test performed during pregnancy measuring?,"Alpha-fetoprotein (AFP), human chorionic gonadotropin (hCG) and unconjugated estriol (uE3)","The triple screening test in pregnancy measures three substances in the mother’s blood:

Alpha-fetoprotein (AFP), human chorionic gonadotropin (hCG), and unconjugated estriol.

It is usually done in the second trimester to screen for risks of fetal conditions such as Down syndrome, trisomy 18, and neural tube defects.",10,10,10,10.0,"Accurately names all three analytes and adds correct, clear context about timing and purpose without any unsafe advice.",1.8124462999994648,
11,bioasq,QLoRA Qwen,What is the triple screening test performed during pregnancy measuring?,"Alpha-fetoprotein (AFP), human chorionic gonadotropin (hCG) and unconjugated estriol (uE3)","The triple screen includes measurement of alpha-fetoprotein (AFP), estriol (ET) and calcium (CA125). The three markers are measured in maternal blood to estimate risk of neural tube defects, chromosomal abnormalities and preterm birth.",2,3,6,4.0,"It correctly mentions AFP and estriol-based screening but incorrectly replaces hCG with CA125/calcium, making the core test components factually wrong.",1.9720414000003075,
12,medquad,GPT-5.5,What are the symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly ?,"What are the signs and symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly? The Human Phenotype Ontology provides the following list of signs and symptoms for Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cryptorchidism 90% Hepatic failure 90% Abnormality of the palate 50% Hypocalcemia 50% Long philtrum 50% Low-set, posteriorly rotated ears 50% Polyhydramnios 50% Short neck 50% Thickened nuchal skin fold 50% Underdeveloped supraorbital ridges 50% Abnormality of the intestine 7.5% Adducted thumb 7.5% Anteverted nares 7.5% Epicanthus 7.5% Hernia of the abdominal wall 7.5% Hypoplasia of penis 7.5% Kyphosis 7.5% Prominent metopic ridge 7.5% Renal hypoplasia/aplasia 7.5% Ventriculomegaly 7.5% Abdominal distention - Alveolar ridge overgrowth - Ascites - Autosomal recessive inheritance - Cleft palate - Death in infancy - Flat midface - Flat occiput - Hepatomegaly - High palate - Hydronephrosis - Hypertelorism - Hypertrichosis - Hypoproteinemia - Inguinal hernia - Low-set ears - Lymphedema - Malar flattening - Micropenis - Muscular hypotonia - Narrow chest - Pancreatic lymphangiectasis - Postaxial hand polydactyly - Prop","Persistence of Müllerian derivatives with lymphangiectasia and postaxial polydactyly is a very rare congenital syndrome. Main symptoms/signs include male internal reproductive abnormalities such as a persistent uterus and fallopian tubes in a 46,XY individual, often associated with undescended testes, inguinal hernia, or infertility despite typically male external genitalia.

It also includes lymphangiectasia, especially intestinal or lymphatic vessel dilation, which can cause chronic diarrhea, protein-losing enteropathy, low blood protein, swelling/edema, poor growth, and increased susceptibility to infections. Postaxial polydactyly means an extra finger or toe on the outer side of the hand or foot.",6,3,8,8.0,"Clear and generally correct at a high level, but it misses many hallmark features from the reference (especially hepatic failure, craniofacial anomalies, and multiple associated congenital findings) and adds some less-supported details like infertility/infections.",2.2469561999996586,
12,medquad,QLoRA Qwen,What are the symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly ?,"What are the signs and symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly? The Human Phenotype Ontology provides the following list of signs and symptoms for Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cryptorchidism 90% Hepatic failure 90% Abnormality of the palate 50% Hypocalcemia 50% Long philtrum 50% Low-set, posteriorly rotated ears 50% Polyhydramnios 50% Short neck 50% Thickened nuchal skin fold 50% Underdeveloped supraorbital ridges 50% Abnormality of the intestine 7.5% Adducted thumb 7.5% Anteverted nares 7.5% Epicanthus 7.5% Hernia of the abdominal wall 7.5% Hypoplasia of penis 7.5% Kyphosis 7.5% Prominent metopic ridge 7.5% Renal hypoplasia/aplasia 7.5% Ventriculomegaly 7.5% Abdominal distention - Alveolar ridge overgrowth - Ascites - Autosomal recessive inheritance - Cleft palate - Death in infancy - Flat midface - Flat occiput - Hepatomegaly - High palate - Hydronephrosis - Hypertelorism - Hypertrichosis - Hypoproteinemia - Inguinal hernia - Low-set ears - Lymphedema - Malar flattening - Micropenis - Muscular hypotonia - Narrow chest - Pancreatic lymphangiectasis - Postaxial hand polydactyly - Prop","The Human Phenotype Ontology provides the following list of codes and terms that are associated with Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly. If a more specific code or term exists, please to use it instead of the general code or term.",1,0,4,7.0,"The candidate does not answer the question about symptoms and instead gives a generic ontology statement, omitting essentially all key clinical features.",1.7921096000000034,
13,drugbank-side_effects,GPT-5.5,What are the side effects of Domperidone?,"Side effects include galactorrhea, gynecomastia, or menstrual irregularities.","Domperidone can cause side effects such as dry mouth, headache, dizziness, abdominal cramps, diarrhea, nausea, and sometimes tiredness or rash.

Because it can raise prolactin levels, it may also cause breast tenderness or enlargement, milk production, menstrual changes, or sexual dysfunction. Rare but serious side effects include abnormal heart rhythm, QT prolongation, palpitations, fainting, and very rarely sudden cardiac death, especially at higher doses or in people with heart disease or interacting medications. Rarely, it can cause allergic reactions or movement-related symptoms such as tremor or stiffness.",9,10,9,10.0,Accurate and well-structured answer that includes the reference endocrine effects plus important common and serious cardiac adverse effects without giving unsafe advice.,1.7118024000001242,
13,drugbank-side_effects,QLoRA Qwen,What are the side effects of Domperidone?,"Side effects include galactorrhea, gynecomastia, or menstrual irregularities.","The most common adverse effect reported with domperidone is constipation. Less commonly, patients experience abdominal pain and diarrhea. Patients experiencing an overdose may present with hypotension, dizziness, tachycardia, nausea, vomiting, headache, lethargy, drowsiness, and/or ataxia. In the event of an overdose, symptomatic treatment should be initiated immediately.",2,3,7,4.0,"The response is readable but misses the key prolactin-related side effects expected for domperidone and includes questionable emphasis on constipation/overdose details, reducing accuracy and safety.",1.7718601000005947,
14,medquad,GPT-5.5,What are the treatments for hereditary sensory neuropathy type IA ?,These resources address the diagnosis or management of hereditary sensory neuropathy type IA: - Gene Review: Gene Review: Hereditary Sensory Neuropathy Type IA - Genetic Testing Registry: Neuropathy hereditary sensory and autonomic type 1 - Rare Diseases Clinical Research Network: Inherited Neuropathies Consortium - The Foundation for Peripheral Neuropathy: Symptoms These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,"Hereditary sensory neuropathy type IA (HSN1A) has no established cure; treatment is mainly supportive and aimed at preventing complications from loss of pain and temperature sensation. Key care includes daily foot/skin inspection, protective footwear, regular podiatry, prompt treatment of ulcers or infections, off-loading pressure areas, wound care, and surgery only when needed for severe deformity, osteomyelitis, or nonhealing ulcers.

Neuropathic pain, if present, is treated with standard agents such as gabapentin or pregabalin, duloxetine, venlafaxine, tricyclic antidepressants, or topical lidocaine/capsaicin. Physical therapy, occupational therapy, ankle–foot orthoses, and mobility aids can help with weakness, balance, and gait problems.

For HSN1A due to SPTLC1 mutations, oral L-serine supplementation has been studied because it can reduce toxic deoxysphingolipid production; it may be considered under the care of a neurologist/metabolic specialist, though it is not universally established as definitive therapy. Genetic counseling is also recommended for affected families.",9,9,9,9.0,"Accurate, well-structured supportive management with appropriate mention of genetic counseling and investigational L-serine, though it omits explicit referral to diagnostic/testing resources listed in the reference.",2.3720957000005,
14,medquad,QLoRA Qwen,What are the treatments for hereditary sensory neuropathy type IA ?,These resources address the diagnosis or management of hereditary sensory neuropathy type IA: - Gene Review: Gene Review: Hereditary Sensory Neuropathy Type IA - Genetic Testing Registry: Neuropathy hereditary sensory and autonomic type 1 - Rare Diseases Clinical Research Network: Inherited Neuropathies Consortium - The Foundation for Peripheral Neuropathy: Symptoms These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,"These resources address the diagnosis or management of HSNA: - Gene Review: Gene Review: Hereditary Sensory Neuropathy Type IA - Genetic Testing Registry: Hereditary peripheral neuropathy, autosomal dominant These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care",8,6,9,10.0,"Clear and mostly correct resource-based answer, but it omits several referenced support resources and narrows the GTR entry differently from the reference.",1.8452093999994759,
